Name,Email,Role,Job Level,Manager Email,Start date,Nationality,Residence,Gender,Personal Email,Birthday,Business Group
Heidi Mora,heidi.mora@domain.com,Creative,1b,Ayla Glenn,2021-10-04,"Indonesia",Indonesia,Male,2095765@gmail.com,1997-02-04,Creative
Arturo Mann,arturo.mann@domain.com,Customer Success Manager,2b,Scarlett Henderson,2022-04-04,South Africa,South Africa,Female,2387674@gmail.com,1981-04-25,Business Function
Paislee Krueger,paislee.krueger@domain.com,Senior AP/AR Associate,2b,Gwendolyn Powell,2022-04-04,Argentina,Argentina,Female,1998715@gmail.com,1995-03-04,Business Function
Jones Shepard,jones.shepard@domain.com,Senior Product Manager,4a IC,Dani Skinner,2024-04-01,Hungary,Hungary,Male,2047743@gmail.com,1988-02-14,Business Function
Noor Lowery,noor.lowery@domain.com,Creative,2a,Helena Quinn,2021-05-03,Malaysia,Malaysia,Female,7494001@gmail.com,1998-09-18,Creative
Jaxxon Webster,jaxxon.webster@domain.com,Customer Success Manager,2a,Mira Gaines,2024-01-08,India,India,Male,6018822@gmail.com,1987-10-09,Business Function
Kensley Banks,kensley.banks@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,2023-01-09,North Macedonia,North Macedonia,Male,8516245@gmail.com,1999-08-01,Business Function
Martin Price,martin.price@domain.com,Creative,2a,Oakley Kramer,2024-09-02,Mexico,Mexico,Male,5205238@gmail.com,1996-07-21,Creative
Piper Zimmerman,piper.zimmerman@domain.com,Production Team Lead,4a Manager,Judah Sandoval,2021-11-02,Ecuador,Ecuador,Male,7446314@gmail.com,1990-09-10,Business Function
Sergio Parrish,sergio.parrish@domain.com,Creative Team Lead,4b Manager,Murphy Costa,2020-08-17,Colombia,Colombia,Female,6820169@gmail.com,1985-11-17,Creative
Tiana Michael,tiana.michael@domain.com,Senior Finance Associate,2b,Brantley Davenport,2023-02-06,India,South Africa,Female,6306682@gmail.com,1995-11-30,Business Function
Bronson Young,bronson.young@domain.com,Creative,2b,Dario Andrade,2023-10-02,Argentina,Argentina,Female,8177026@gmail.com,1995-11-16,Creative
Zoey Larsen,zoey.larsen@domain.com,Creative,1b,Addison Hoffman,2022-03-07,Argentina,Argentina,Male,4826295@gmail.com,1993-12-14,Creative
Brycen Cortez,brycen.cortez@domain.com,Senior Lead Frontend Engineer,4b IC,Elaina Mack,2021-03-01,"Palestine, Jordan",Palestine,Male,8499895@gmail.com,1991-04-01,Business Function
Haven Larsen,haven.larsen@domain.com,Creative Lead,4a IC,Thiago Valentine,2024-06-03,Egypt,Egypt,Male,4091694@gmail.com,1997-02-22,Creative
Brycen Jaramillo,brycen.jaramillo@domain.com,Creative,1a,Avi Barnett,2022-07-04,Mexico,Mexico,Male,6818506@gmail.com,1997-08-31,Creative
Guadalupe Howe,guadalupe.howe@domain.com,Senior SEO Manager,4b Manager,Leighton May,2021-07-19,South Africa,South Africa,Male,6159569@gmail.com,1986-02-23,Business Function
Alaric Santos,alaric.santos@domain.com,Producer,3b,Piper Zimmerman,2024-02-05,Philippines,Mexico,Female,3856416@gmail.com,1989-05-12,Business Function
Alana Pineda,alana.pineda@domain.com,Creative Project Manager,1a,Cedric Love,2024-08-12,"Argentina, Spain",Argentina,Female,4379768@gmail.com,1987-11-11,CPM
Gerardo Perry,gerardo.perry@domain.com,Creative,2b,Helena Quinn,2021-09-06,Philippines,Philippines,Female,2024315@gmail.com,1994-03-30,Creative
Clara Gardner,clara.gardner@domain.com,Director of Learning Experience,6a,Owen Love,2023-02-27,Germany,Germany,Male,4587226@gmail.com,1982-04-18,Business Function
