staff_id,name,username,email,position,position_level,styles,industries,software,citizenship,residence,offboarded_at,created_at
10001,Heidi Mora,heidi.mora,heidi.mora@domain.com,,,[],[Film],[Other],"Indonesia",Indonesia,,1/4/2018 0:00:00
10002,Arturo Mann,arturo.mann,arturo.mann@domain.com,ADMIN,4,"[Minimalistic, Corporate, Modern]",,"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",South Africa,South Africa,,1/4/2018 0:00:09
10003,Paislee Krueger,paislee.krueger,paislee.krueger@domain.com,CORE,4,,[Other],[],Argentina,Argentina,,1/4/2018 0:00:17
10004,Jones Shepard,jones.shepard,jones.shepard@domain.com,ADMIN,4,"[Minimalistic, Corporate, Modern]","[Finance, Technology, Corporate]",[Other],Hungary,Hungary,,1/4/2018 0:00:26
10005,Noor Lowery,noor.lowery,noor.lowery@domain.com,SPECIALIST,1,[Other],[Film],[Other],Malaysia,Malaysia,,1/4/2018 0:00:35
10006,Jaxxon Webster,jaxxon.webster,jaxxon.webster@domain.com,PROJECTMANAGER,3,[Other],[Film],[],India,India,,1/4/2018 0:00:43
10007,Kensley Banks,kensley.banks,kensley.banks@domain.com,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]",North Macedonia,North Macedonia,,1/4/2018 0:00:52
10008,Martin Price,martin.price,martin.price@domain.com,DESIGN_DIRECTOR,4,[],"[Lifestyle, Marketing]","[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Mexico,Mexico,,1/4/2018 0:01:00
10009,Piper Zimmerman,piper.zimmerman,piper.zimmerman@domain.com,SPECIALIST,5,[Original],"[Lifestyle, Marketing]",[PowerPoint],Ecuador,Ecuador,,1/4/2018 0:01:09
10010,Sergio Parrish,sergio.parrish,sergio.parrish@domain.com,PROJECTMANAGER,4,[Original],"[Lifestyle, Marketing]",[Other],Colombia,Colombia,,1/4/2018 0:01:18
10011,Tiana Michael,tiana.michael,tiana.michael@domain.com,SPECIALIST,2,,[Branding],"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",India,South Africa,,1/4/2018 0:01:26
10012,Bronson Young,bronson.young,bronson.young@domain.com,,,[Corporate],[Film],"[Illustrator, Photoshop]",Argentina,Argentina,,1/4/2018 0:01:35
10013,Zoey Larsen,zoey.larsen,zoey.larsen@domain.com,,,[],[Film],[Other],Argentina,Argentina,,1/4/2018 0:01:44
10014,Brycen Cortez,brycen.cortez,brycen.cortez@domain.com,PROJECTMANAGER,1,[Corporate],[Branding],"[Illustrator, Photoshop]","Palestine, Jordan",Palestine,,1/4/2018 0:01:52
